年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,投票日,告知日,定数,候補者数,有権者数,投票率%,投票者数,得票率%
2019,大田,当,2575.000 ,福井　亮二,,44,男,共産,現,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",1.005 
2019,大田,落,2520.906 ,天坂　大介,,41,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.984 
2019,大田,落,2478.000 ,伊藤　和弘,,60,男,自民,現,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.967 
2019,大田,落,2474.000 ,柿島　耕平,,36,男,自民,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.966 
2019,大田,落,2460.000 ,加瀬　修一,,47,男,自民,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.960 
2019,大田,落,2278.000 ,山崎　勝広,,52,男,国民,現,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.889 
2019,大田,落,2227.000 ,渡辺　強,,48,男,共産,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.869 
2019,大田,落,2211.000 ,安藤　充,,73,男,自民,現,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.863 
2019,大田,落,1990.000 ,津田　智紀,,46,男,無所属,元,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.777 
2019,大田,落,1657.000 ,黒川　仁,,43,男,国民,現,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.647 
2019,大田,落,1433.154 ,田中　啓三,,60,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.559 
2019,大田,落,1273.000 ,金子　富夫,,68,男,無所属,元,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.497 
2019,大田,落,1247.000 ,溝口　晃一,,50,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.487 
2019,大田,落,1239.000 ,寺田　一智,,39,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.484 
2019,大田,落,1039.000 ,尾上　明,,53,男,『教育勅語』明治の会,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.406 
2019,大田,落,894.000 ,安田　輝久,,48,男,自由,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.349 
2019,大田,落,827.000 ,福田　裕久,,51,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.323 
2019,大田,落,812.000 ,高橋　京夢,,26,男,ユーチューバー推進党,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.317 
2019,大田,落,374.000 ,谷口　秀樹,,56,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.146 
2019,大田,落,325.000 ,村元　寅次,,65,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.127 
2019,大田,落,246.000 ,原　忠信,,67,男,無所属,新,,2019/4/21,2019/4/14,50,70,"599,370 ",42.740 ,"256,170.738 ",0.096 
2019,渋谷,当,3340.000 ,中田　喬士,,29,男,立憲,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",4.528 
2019,渋谷,当,3288.695 ,岡田　麻理,,51,女,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",4.458 
2019,渋谷,当,2694.000 ,吉田　佳代子,,56,女,立憲,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",3.652 
2019,渋谷,当,2376.000 ,橋本　侑樹,,26,女,あたらしい党,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",3.221 
2019,渋谷,当,2164.163 ,田中　匠身,,50,男,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.934 
2019,渋谷,当,2145.000 ,松本　翔,,33,男,自民,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.908 
2019,渋谷,当,2026.000 ,一柳　直宏,,56,男,自民,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.746 
2019,渋谷,当,2012.628 ,伊藤　毅志,,57,男,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.728 
2019,渋谷,当,2005.000 ,小田　浩美,,53,女,立憲,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.718 
2019,渋谷,当,1977.000 ,木村　正義,,76,男,自民,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.680 
2019,渋谷,当,1915.000 ,神薗　麻智子,,39,女,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.596 
2019,渋谷,当,1911.000 ,丸山　高司,,61,男,自民,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.591 
2019,渋谷,当,1774.000 ,五十嵐　千代子,,65,女,共産,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.405 
2019,渋谷,当,1716.000 ,治田　学,,48,男,立憲,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.326 
2019,渋谷,当,1656.000 ,松山　克幸,,59,男,公明,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.245 
2019,渋谷,当,1640.000 ,鈴木　建邦,,44,男,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.223 
2019,渋谷,当,1631.000 ,堀切　稔仁,,50,男,渋谷オンブスマン,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.211 
2019,渋谷,当,1612.000 ,久永　薫,,56,女,公明,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.185 
2019,渋谷,当,1574.000 ,近藤　順子,,51,女,公明,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.134 
2019,渋谷,当,1555.836 ,田中　正也,,57,男,共産,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.109 
2019,渋谷,当,1536.000 ,牛尾　真己,,61,男,共産,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.082 
2019,渋谷,当,1534.707 ,斎藤　竜一,,58,男,自民,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.080 
2019,渋谷,当,1529.877 ,森田　由紀,,48,女,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.074 
2019,渋谷,当,1524.000 ,栗谷　順彦,,62,男,公明,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.066 
2019,渋谷,当,1497.000 ,薬丸　義人,,54,男,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.029 
2019,渋谷,当,1489.000 ,沢島　英隆,,56,男,公明,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",2.019 
2019,渋谷,当,1441.304 ,佐藤　真理,,67,女,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.954 
2019,渋谷,当,1428.000 ,金子　快之,,48,男,NHKから国民を守る党,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.936 
2019,渋谷,当,1335.000 ,下嶋　倫朗,,67,男,自民,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.810 
2019,渋谷,当,1187.371 ,中村　豪志,,42,男,自民,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.610 
2019,渋谷,当,1171.000 ,須田　賢,,43,男,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.587 
2019,渋谷,当,1162.292 ,斉藤　貴之,,43,男,自民,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.576 
2019,渋谷,当,1139.000 ,岡美　千瑠,,40,女,自民,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.544 
2019,渋谷,当,1118.000 ,苫　孝二,,68,男,共産,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.516 
2019,渋谷,落,1079.000 ,藤井　敬夫,,52,男,自民,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.463 
2019,渋谷,落,1076.000 ,釜谷　あすり,,26,女,自民,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.459 
2019,渋谷,落,1056.000 ,小柳　政也,,52,男,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.432 
2019,渋谷,落,1044.000 ,菅野　茂,,71,男,共産,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.415 
2019,渋谷,落,976.000 ,折笠　裕治,,61,男,共産,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.323 
2019,渋谷,落,869.000 ,青木　勲,,43,男,自民,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.178 
2019,渋谷,落,793.000 ,笹本　由紀子,,54,女,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.075 
2019,渋谷,落,763.000 ,佐々木　弘明,,56,男,無所属,元,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",1.034 
2019,渋谷,落,603.000 ,浜田　浩樹,,41,男,国民,元,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.817 
2019,渋谷,落,465.000 ,菊池　愛典,,65,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.630 
2019,渋谷,落,426.000 ,田辺　浩一郎,,52,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.577 
2019,渋谷,落,352.000 ,小林　崇央,,48,男,無所属,元,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.477 
2019,渋谷,落,340.000 ,川路　利樹,,41,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.461 
2019,渋谷,落,322.000 ,田口　昌志,,50,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.437 
2019,渋谷,落,288.000 ,新庄　美鈴,,58,女,自由を守る会,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.390 
2019,渋谷,落,263.000 ,山岡　泰彰,,32,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.357 
2019,渋谷,落,222.000 ,江上　真吾,,63,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.301 
2019,渋谷,落,217.000 ,岩崎　健太郎,,27,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.294 
2019,渋谷,落,214.122 ,守田　有希生,,31,男,幸福実現党,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.290 
2019,渋谷,落,112.000 ,秋元　英之,,50,男,無所属,現,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.152 
2019,渋谷,落,75.000 ,園田　康,,57,男,無所属,新,,2019/4/21,2019/4/14,34,55,"184,602 ",39.960 ,"73,766.959 ",0.102 
2019,中央,当,4088.000 ,山本　理恵,,39,女,無所属,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",6.998 
2019,中央,当,2511.000 ,小坂　和輝,,52,男,無所属,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",4.298 
2011,台東,当,3049.241 ,鈴木　純,すずき　じゅん,28,男,自民,新,無職,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",4.277 
2011,台東,当,2905.000 ,堀越　秀生,ほりこし　ひでお,46,男,無所属,元,無職,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",4.074 
2011,台東,当,2394.000 ,太田　雅久,おおた　まさひさ,54,男,自民,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.358 
2011,台東,当,2367.000 ,河野　純之佐,こうの　じゅんのすけ,55,男,民主,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.320 
2011,台東,当,2347.000 ,寺井　康芳,てらい　やすよし,65,男,自民,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.292 
2011,台東,当,2252.000 ,小菅　千保子,こすげ　ちほこ,56,女,公明,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.159 
2011,台東,当,2210.000 ,本目　さよ,ほんめ　さよ,29,女,民主,新,会社員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.100 
2011,台東,当,2183.000 ,茂木　孝孔,もてぎ　たかよし,63,男,共産,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.062 
2011,台東,当,2181.758 ,スズキ　イチロー,すずき　いちろー,58,男,みんな,新,会社経営,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.060 
2011,台東,当,2176.000 ,早川　太郎,はやかわ　たろう,44,男,無所属,新,ビジネスホテル経営,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",3.052 
2011,台東,当,2096.000 ,石川　義弘,いしかわ　よしひろ,57,男,自民,現,歯科医,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.940 
2011,台東,当,2073.548 ,秋間　洋,あきま　ひろし,52,男,共産,現,政党役員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.908 
2011,台東,当,2054.000 ,寺田　晃,てらだ　あきら,47,男,公明,新,無職,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.881 
2011,台東,当,1984.000 ,松尾　伸子,まつお　のぶこ,46,女,公明,新,無職,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.783 
2011,台東,当,1908.000 ,清水　恒一郎,しみず　こういちろう,61,男,公明,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.676 
2011,台東,当,1901.000 ,小坂　義久,こさか　よしひさ,48,男,公明,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.666 
2011,台東,当,1883.000 ,高森　喜美子,たかもり　きみこ,61,女,自民,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.641 
2011,台東,当,1881.000 ,石塚　猛,いしづか　たけし,64,男,自民,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.638 
2011,台東,当,1874.000 ,木村　肇,きむら　はじめ,69,男,民主,現,政党役員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.628 
2011,台東,当,1815.000 ,望月　元美,もちづき　もとみ,43,女,自民,新,主婦,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.546 
2011,台東,当,1808.000 ,阿部　光利,あべ　みつとし,54,男,みんな,新,会社経営,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.536 
2011,台東,当,1779.000 ,田中　伸宏,たなか　のぶひろ,64,男,無所属,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.495 
2011,台東,当,1705.451 ,和泉　浩司,いずみ　ひろし,54,男,自民,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.392 
2011,台東,当,1675.000 ,木下　悦希,きのした　えつき,62,男,民主,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.349 
2011,台東,当,1580.000 ,橋詰　高志,はしづめ　たかし,54,男,共産,現,政党役員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.216 
2011,台東,当,1576.000 ,青柳　雅之,あおやぎ　まさゆき,42,男,民主,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.210 
2011,台東,当,1489.000 ,冨永　龍司,とみなが　りゅうじ,46,男,無所属,新,飲食店経営,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.088 
2011,台東,当,1486.000 ,小高　明,おだか　あきら,62,男,共産,新,政党役員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",2.084 
2011,台東,当,1415.000 ,東　久仁子,あずま　くにこ,44,女,無所属,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.985 
2011,台東,当,1387.000 ,君塚　裕史,きみづか　ひろふみ,59,男,無所属,現,自動車販売修理業,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.945 
2011,台東,当,1372.000 ,伊藤　萬太郎,いとう　まんたろう,64,男,民主,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.924 
2011,台東,当,1346.000 ,水島　道徳,みずしま　みちのり,46,男,民主,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.888 
2011,台東,落,1282.000 ,村上　浩一郎,むらかみ　こういちろう,53,男,自民,新,会社員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.798 
2011,台東,落,1152.000 ,成沢　敬,なるさわ　たかし,49,男,民主,現,区議会議員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.616 
2011,台東,落,1124.000 ,堀井　修,ほりい　おさむ,58,男,民主,新,警備会社役員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.576 
2011,台東,落,1119.000 ,藤平　一雄,ふじひら　かずお,72,男,無所属,現,錺金具工芸製作,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.569 
2011,台東,落,1077.000 ,諸泉　良明,もろいずみ　よしあき,51,男,自民,新,会社経営,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",1.511 
2011,台東,落,526.000 ,松本　陽一,まつもと　よういち,56,男,無所属,新,印刷会社社長,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",0.738 
2011,台東,落,418.000 ,野木　正治,のぎ　まさはる,53,男,社民,新,派遣社員,2011/4/24,2011/4/17,32,39,"143,834 ",49.570 ,"71,298.514 ",0.586 
2019,中央,当,2121.000 ,青木　佳乃,,57,女,無所属,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",3.631 
2019,中央,当,1890.000 ,礒野　忠,,57,男,自民,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",3.235 
2019,中央,当,1881.000 ,太田　太,,47,男,自民,新,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",3.220 
2019,中央,当,1842.667 ,田中　耕太郎,,41,男,自民,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",3.154 
2019,中央,当,1834.000 ,瓜生　正高,,41,男,自民,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",3.139 
2019,中央,当,1686.000 ,梶谷　優香,,27,女,立憲,新,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",2.886 
2019,中央,当,1674.332 ,田中　広一,,47,男,公明,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",2.866 
2019,中央,当,1586.000 ,神谷　俊宏,,37,男,自民,新,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",2.715 
2019,中央,当,1525.000 ,押田　満理子,,73,女,自民,現,,2019/4/21,2019/4/14,30,44,"128,000 ",45.640 ,"58,419.200 ",2.610 
