地域コード,地域,年,人口,age,年齢
131199,板橋区,,4875,22,22歳
131199,板橋区,,5226,21,21歳
131199,板橋区,,5516,20,20歳
131199,板橋区,,4589,19,19歳
131199,板橋区,,4779,18,18歳
131199,板橋区,,4159,17,17歳
131199,板橋区,,3614,16,16歳
131199,板橋区,,2710,15,15歳
131202,練馬区,,5814,27,27歳
131202,練馬区,,6178,26,26歳
131202,練馬区,,5860,25,25歳
131202,練馬区,,6482,24,24歳
131202,練馬区,,5849,23,23歳
131202,練馬区,,6095,22,22歳
131202,練馬区,,6127,21,21歳
131202,練馬区,,6002,20,20歳
131202,練馬区,,6003,19,19歳
131202,練馬区,,5674,18,18歳
131202,練馬区,,5679,17,17歳
131202,練馬区,,5164,16,16歳
131202,練馬区,,4547,15,15歳
131211,足立区,,5937,27,27歳
131211,足立区,,5466,26,26歳
131211,足立区,,5023,25,25歳
131211,足立区,,7793,24,24歳
131211,足立区,,5175,23,23歳
131211,足立区,,5458,22,22歳
131211,足立区,,5519,21,21歳
131211,足立区,,4617,20,20歳
131211,足立区,,4422,19,19歳
131211,足立区,,4322,18,18歳
131211,足立区,,3466,17,17歳
131211,足立区,,3528,16,16歳
131211,足立区,,2435,15,15歳
131229,葛飾区,,3550,27,27歳
131229,葛飾区,,4114,26,26歳
131229,葛飾区,,3205,25,25歳
131229,葛飾区,,4372,24,24歳
131229,葛飾区,,3588,23,23歳
131229,葛飾区,,3801,22,22歳
131229,葛飾区,,3735,21,21歳
131229,葛飾区,,4041,20,20歳
131229,葛飾区,,3666,19,19歳
131229,葛飾区,,3409,18,18歳
131229,葛飾区,,3157,17,17歳
131229,葛飾区,,2795,16,16歳
131229,葛飾区,,2272,15,15歳
131237,江戸川区,,5848,27,27歳
131237,江戸川区,,6142,26,26歳
131237,江戸川区,,4606,25,25歳
131237,江戸川区,,7164,24,24歳
131237,江戸川区,,4922,23,23歳
131237,江戸川区,,5319,22,22歳
131237,江戸川区,,5490,21,21歳
131237,江戸川区,,5241,20,20歳
131237,江戸川区,,5191,19,19歳
131237,江戸川区,,5151,18,18歳
131237,江戸川区,,4646,17,17歳
131237,江戸川区,,3234,16,16歳
131237,江戸川区,,2646,15,15歳
132012,八王子市,,4387,27,27歳
132012,八王子市,,4274,26,26歳
132012,八王子市,,3528,25,25歳
132012,八王子市,,4317,24,24歳
132012,八王子市,,2844,23,23歳
132012,八王子市,,2733,22,22歳
132012,八王子市,,2878,21,21歳
132012,八王子市,,2610,20,20歳
132012,八王子市,,2290,19,19歳
132012,八王子市,,2204,18,18歳
132012,八王子市,,2091,17,17歳
132012,八王子市,,1909,16,16歳
132012,八王子市,,1252,15,15歳
132021,立川市,,1304,27,27歳
132021,立川市,,1456,26,26歳
132021,立川市,,1379,25,25歳
132021,立川市,,1584,24,24歳
132021,立川市,,1341,23,23歳
132021,立川市,,1391,22,22歳
132021,立川市,,1453,21,21歳
132021,立川市,,1543,20,20歳
132021,立川市,,1444,19,19歳
132021,立川市,,1422,18,18歳
132021,立川市,,1117,17,17歳
132021,立川市,,1196,16,16歳
132021,立川市,,879,15,15歳
132039,武蔵野市,,1165,27,27歳
132039,武蔵野市,,1330,26,26歳
132039,武蔵野市,,1363,25,25歳
132039,武蔵野市,,1583,24,24歳
132039,武蔵野市,,1753,23,23歳
132039,武蔵野市,,1781,22,22歳
132039,武蔵野市,,1743,21,21歳
132039,武蔵野市,,1468,20,20歳
132039,武蔵野市,,1471,19,19歳
132039,武蔵野市,,1587,18,18歳
132039,武蔵野市,,1226,17,17歳
132039,武蔵野市,,1296,16,16歳
132039,武蔵野市,,1182,15,15歳
132047,三鷹市,,1839,27,27歳
132047,三鷹市,,1421,26,26歳
132047,三鷹市,,1550,25,25歳
132047,三鷹市,,1773,24,24歳
132047,三鷹市,,1675,23,23歳
132047,三鷹市,,1948,22,22歳
132047,三鷹市,,1866,21,21歳
132047,三鷹市,,2182,20,20歳
132047,三鷹市,,1633,19,19歳
132047,三鷹市,,1808,18,18歳
132047,三鷹市,,1409,17,17歳
132047,三鷹市,,1722,16,16歳
132047,三鷹市,,1428,15,15歳
132055,青梅市,,691,27,27歳
132055,青梅市,,790,26,26歳
132055,青梅市,,462,25,25歳
132055,青梅市,,568,24,24歳
132055,青梅市,,313,23,23歳
132055,青梅市,,552,22,22歳
132055,青梅市,,358,21,21歳
132055,青梅市,,379,20,20歳
132055,青梅市,,336,19,19歳
132055,青梅市,,165,18,18歳
132055,青梅市,,185,17,17歳
132055,青梅市,,244,16,16歳
132055,青梅市,,123,15,15歳
132063,府中市,,2502,27,27歳
132063,府中市,,2813,26,26歳
132063,府中市,,2411,25,25歳
132063,府中市,,2464,24,24歳
132063,府中市,,2364,23,23歳
132063,府中市,,2334,22,22歳
132063,府中市,,2593,21,21歳
132063,府中市,,2241,20,20歳
132063,府中市,,1887,19,19歳
132063,府中市,,1894,18,18歳
132063,府中市,,1273,17,17歳
132063,府中市,,1452,16,16歳
132063,府中市,,1239,15,15歳
132071,昭島市,,914,27,27歳
132071,昭島市,,954,26,26歳
132071,昭島市,,996,25,25歳
132071,昭島市,,1056,24,24歳
132071,昭島市,,794,23,23歳
132071,昭島市,,788,22,22歳
132071,昭島市,,869,21,21歳
132071,昭島市,,795,20,20歳
132071,昭島市,,814,19,19歳
132071,昭島市,,750,18,18歳
132071,昭島市,,827,17,17歳
132071,昭島市,,651,16,16歳
132071,昭島市,,723,15,15歳
132080,調布市,,2348,27,27歳
132080,調布市,,2428,26,26歳
132080,調布市,,2145,25,25歳
132080,調布市,,2559,24,24歳
132080,調布市,,2064,23,23歳
132080,調布市,,2247,22,22歳
132080,調布市,,2128,21,21歳
132080,調布市,,2594,20,20歳
132080,調布市,,2401,19,19歳
132080,調布市,,2442,18,18歳
132080,調布市,,1928,17,17歳
132080,調布市,,1727,16,16歳
132080,調布市,,1707,15,15歳
132098,町田市,,3786,27,27歳
132098,町田市,,3818,26,26歳
132098,町田市,,2885,25,25歳
132098,町田市,,3087,24,24歳
132098,町田市,,2620,23,23歳
132098,町田市,,2250,22,22歳
132098,町田市,,2008,21,21歳
132098,町田市,,2114,20,20歳
132098,町田市,,1952,19,19歳
132098,町田市,,1735,18,18歳
132098,町田市,,1630,17,17歳
132098,町田市,,1534,16,16歳
132098,町田市,,1333,15,15歳
132101,小金井市,,941,27,27歳
132101,小金井市,,1319,26,26歳
132101,小金井市,,1055,25,25歳
132101,小金井市,,1194,24,24歳
132101,小金井市,,1232,23,23歳
132101,小金井市,,1087,22,22歳
132101,小金井市,,1131,21,21歳
132101,小金井市,,1336,20,20歳
132101,小金井市,,1151,19,19歳
132101,小金井市,,1321,18,18歳
132101,小金井市,,1273,17,17歳
132101,小金井市,,1385,16,16歳
132101,小金井市,,1293,15,15歳
132110,小平市,,1576,27,27歳
132110,小平市,,1297,26,26歳
132110,小平市,,1444,25,25歳
132110,小平市,,2008,24,24歳
132110,小平市,,1698,23,23歳
132110,小平市,,1545,22,22歳
132110,小平市,,1877,21,21歳
132110,小平市,,1814,20,20歳
132110,小平市,,1680,19,19歳
132110,小平市,,2027,18,18歳
132110,小平市,,1637,17,17歳
132110,小平市,,1479,16,16歳
132110,小平市,,987,15,15歳
132128,日野市,,1519,27,27歳
132128,日野市,,1813,26,26歳
132128,日野市,,1373,25,25歳
132128,日野市,,1737,24,24歳
132128,日野市,,1604,23,23歳
132128,日野市,,1508,22,22歳
132128,日野市,,1781,21,21歳
132128,日野市,,1542,20,20歳
132128,日野市,,1248,19,19歳
132128,日野市,,1241,18,18歳
132128,日野市,,1209,17,17歳
132128,日野市,,1349,16,16歳
132128,日野市,,973,15,15歳
132136,東村山市,,1388,27,27歳
132136,東村山市,,1372,26,26歳
132136,東村山市,,1212,25,25歳
132136,東村山市,,1132,24,24歳
132136,東村山市,,753,23,23歳
132136,東村山市,,664,22,22歳
132136,東村山市,,818,21,21歳
132136,東村山市,,706,20,20歳
132136,東村山市,,719,19,19歳
132136,東村山市,,790,18,18歳
132136,東村山市,,827,17,17歳
132136,東村山市,,859,16,16歳
132136,東村山市,,749,15,15歳
132144,国分寺市,,920,27,27歳
132144,国分寺市,,739,26,26歳
132144,国分寺市,,850,25,25歳
132144,国分寺市,,1205,24,24歳
132144,国分寺市,,1143,23,23歳
132144,国分寺市,,888,22,22歳
132144,国分寺市,,1163,21,21歳
132144,国分寺市,,1182,20,20歳
132144,国分寺市,,1082,19,19歳
132144,国分寺市,,1293,18,18歳
