年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,得票率%,略称党名,党順序,自治体コード
2011,目黒,落,690,栗林　裕信,くりばやし　ひろのぶ,52,男,民主,新,会社経営,0.831,民主,80,131105
2011,目黒,落,516.815,木村　勝隆,きむら　かつたか,58,男,民主,新,会社員,0.622,民主,80,131105
2011,目黒,落,514,荒木　しげる,あらき　しげる,62,男,民主,新,俳優,0.619,民主,80,131105
2015,目黒,当,2792,西崎　翔,にしざき　つばさ,31,男,民主,新,無職,3.237,民主,80,131105
2015,目黒,当,1874,吉野　正人,よしの　まさと,48,男,民主,現,区議会議員,2.173,民主,80,131105
2015,目黒,当,1871,青木　早苗,あおき　さなえ,67,女,民主,現,区議会議員,2.169,民主,80,131105
2015,目黒,落,1356,香野　茜,こうの　あかね,36,女,民主,現,区議会議員,1.572,民主,80,131105
2015,目黒,落,1085.43,木村　洋子,きむら　ようこ,65,女,民主,現,区議会議員,1.258,民主,80,131105
2011,目黒,当,1888,関　賢一,せき　けんいち,46,男,公明,現,区議会議員,2.274,公明,4,131105
2011,目黒,当,1857,川原　伸昭,かわはら　のぶあき,39,男,公明,新,会社員,2.236,公明,4,131105
2011,目黒,当,1766,飯島　和代,いいじま　かずよ,55,女,公明,新,政党役員,2.127,公明,4,131105
2011,目黒,当,1761,山宮　清孝,やまみや　きよたか,40,男,公明,新,政党役員,2.121,公明,4,131105
2011,目黒,当,1760.214,佐藤　豊,さとう　ゆたか,48,男,公明,新,政党役員,2.12,公明,4,131105
2011,目黒,当,1637,武藤　正浩,むとう　まさひろ,50,男,公明,現,区議会議員,1.971,公明,4,131105
2015,目黒,当,1936,川原　伸昭,かわはら　のぶあき,43,男,公明,現,区議会議員,2.245,公明,4,131105
2015,目黒,当,1771.319,佐藤　豊,さとうゆたか,52,男,公明,現,区議会議員,2.054,公明,4,131105
2015,目黒,当,1690,飯島　和代,いいじま　かずよ,59,女,公明,現,区議会議員,1.959,公明,4,131105
2015,目黒,当,1665,関　賢一,せき　けんいち,50,男,公明,現,区議会議員,1.93,公明,4,131105
2015,目黒,当,1623,山宮　清孝,やまみや　きよたか,44,男,公明,現,区議会議員,1.882,公明,4,131105
2015,目黒,当,1478,武藤　正浩,むとう　まさひろ,54,男,公明,現,区議会議員,1.714,公明,4,131105
2019,目黒,当,2134,川原　伸昭,,47,男,公明,現,,2.32,公明,4,131105
2019,目黒,当,1973,飯島　和代,,63,女,公明,現,,2.145,公明,4,131105
2019,目黒,当,1806,武藤　正浩,,58,男,公明,現,,1.963,公明,4,131105
2019,目黒,当,1788,関　賢一,,54,男,公明,現,,1.944,公明,4,131105
2019,目黒,当,1777.309,佐藤　豊,,56,男,公明,現,,1.932,公明,4,131105
2019,目黒,当,1748,山宮　清孝,,48,男,公明,現,,1.9,公明,4,131105
2011,目黒,落,1050,戸沢　二郎,とざわ　じろう,64,男,社民,現,区議会議員,1.264,社民,8,131105
2015,目黒,落,950,戸沢　二郎,とざわ　じろう,68,男,社民,元,団体職員,1.101,社民,8,131105
2019,目黒,落,572,戸沢　二郎,,72,男,社民,元,,0.622,社民,8,131105
2015,目黒,当,2335,山本　紘子,やまもと　ひろこ,38,女,維新,新,会社員,2.707,維新,3,131105
2015,目黒,当,1582,松田　哲也,まつだ　てつや,50,男,維新,現,区議会議員,1.834,維新,3,131105
2019,目黒,当,2048,松田　哲也,,54,男,維新,現,,2.226,維新,3,131105
2015,目黒,落,582,中川　治,なかがわ　おさむ,53,男,次世代,新,会社員,0.675,諸派,99,131105
2019,目黒,落,172,小浦　東世,,59,男,幸福実現党,新,,0.187,諸派,99,131105
2019,目黒,当,5202,山本　紘子,,42,女,立憲,現,,5.655,立憲,2,131105
2019,目黒,当,2227,梅田　雅美,,54,女,立憲,新,,2.421,立憲,2,131105
2019,目黒,当,2151,西崎　翔,,35,男,立憲,現,,2.338,立憲,2,131105
2019,目黒,当,1978,金井　洋,,46,男,立憲,新,,2.15,立憲,2,131105
2019,目黒,当,1737.22,橋本　祥平,,29,男,立憲,新,,1.888,立憲,2,131105
2019,目黒,当,2753,田添　麻友,,36,女,都民ファーストの会,現,,2.993,諸派,99,131105
2019,目黒,落,1170.959,田嶋　慎治,,49,男,都民ファーストの会,新,,1.273,諸派,99,131105
2019,目黒,落,971,柿原　健作,,48,男,都民ファーストの会,新,,1.056,諸派,99,131105
2019,目黒,当,1978.885,川端　慎二,,42,男,NHKから国民を守る党,新,,2.151,NHK,9,131105
2015,品川,当,5232,高橋　慎司,,51,男,無所属,現,,4.314,無所属,11,131091
2015,品川,当,3164,須貝　行宏,,59,男,無所属,現,,2.609,無所属,11,131091
2015,品川,当,2632.405,鈴木　博,,58,男,無所属,新,,2.17,無所属,11,131091
2015,品川,当,2393,西本　貴子,,50,女,無所属,現,,1.973,無所属,11,131091
2015,品川,当,2198,木村　健悟,,57,男,無所属,新,,1.812,無所属,11,131091
2015,品川,当,2148,藤原　正則,,48,男,無所属,現,,1.771,無所属,11,131091
2015,品川,当,1803,渡部　茂,,44,男,無所属,現,,1.487,無所属,11,131091
2011,品川,当,5232,高橋　慎司,,51,男,無所属,現,,4.347,無所属,11,131091
2011,品川,当,3164,須貝　行宏,,59,男,無所属,現,,2.629,無所属,11,131091
2011,品川,当,2632.405,鈴木　博,,58,男,無所属,新,,2.187,無所属,11,131091
2011,品川,当,2393,西本　貴子,,50,女,無所属,現,,1.988,無所属,11,131091
2011,品川,当,2198,木村　健悟,,57,男,無所属,新,,1.826,無所属,11,131091
2011,品川,当,2148,藤原　正則,,48,男,無所属,現,,1.785,無所属,11,131091
2011,品川,当,1803,渡部　茂,,44,男,無所属,現,,1.498,無所属,11,131091
2011,品川,落,414,長岡　義男,,65,男,無所属,新,,0.344,無所属,11,131091
2011,品川,落,408,粕谷　俊二,,49,男,無所属,新,,0.339,無所属,11,131091
2011,品川,落,178,杉森　正春,,60,男,無所属,新,,0.148,無所属,11,131091
2015,品川,落,414,長岡　義男,,65,男,無所属,新,,0.341,無所属,11,131091
2015,品川,落,408,粕谷　俊二,,49,男,無所属,新,,0.336,無所属,11,131091
2015,品川,落,178,杉森　正春,,60,男,無所属,新,,0.147,無所属,11,131091
2019,品川,当,6205.403,高橋　慎司,,59,男,無所属,現,,4.846,無所属,11,131091
2019,品川,当,3290,妹尾　麻里,,41,女,無所属,新,,2.569,無所属,11,131091
2019,品川,当,2711,西本　貴子,,58,女,無所属,元,,2.117,無所属,11,131091
2019,品川,当,2669,木村　健悟,,65,男,無所属,現,,2.084,無所属,11,131091
2019,品川,当,2522,須貝　行宏,,67,男,無所属,現,,1.97,無所属,11,131091
2019,品川,当,2427.766,鈴木　博,,66,男,無所属,現,,1.896,無所属,11,131091
2019,品川,当,1933,松沢　和昌,,43,男,無所属,新,,1.51,無所属,11,131091
2019,品川,当,1898,藤原　正則,,56,男,無所属,現,,1.482,無所属,11,131091
2019,品川,落,1860,高野　洋介,,27,男,無所属,新,,1.453,無所属,11,131091
2019,品川,落,1814.995,西村　柳一郎,,41,男,無所属,新,,1.417,無所属,11,131091
2015,品川,当,2134,大西　光広,,53,男,みんな,現,,1.76,諸派,99,131091
2015,品川,当,1681.09,吉田　あつみ,,53,女,みんな,新,,1.386,諸派,99,131091
2015,品川,落,1552.137,小林　誠,,36,男,みんな,新,,1.28,諸派,99,131091
2015,品川,落,1457.547,吉田　楽,,38,男,みんな,新,,1.202,諸派,99,131091
2015,品川,落,1444.985,伊藤　優太,,26,男,みんな,新,,1.191,諸派,99,131091
2011,品川,当,2134,大西　光広,,53,男,みんな,現,,1.773,諸派,99,131091
2011,品川,当,1681.09,吉田　あつみ,,53,女,みんな,新,,1.397,諸派,99,131091
2011,品川,落,1552.137,小林　誠,,36,男,みんな,新,,1.29,諸派,99,131091
2011,品川,落,1457.547,吉田　楽,,38,男,みんな,新,,1.211,諸派,99,131091
2011,品川,落,1444.985,伊藤　優太,,26,男,みんな,新,,1.201,諸派,99,131091
2015,品川,当,3458.61,石田　秀男,,51,男,自民,元,,2.852,自民,1,131091
2015,品川,当,3070.972,鈴木　真澄,,58,男,自民,現,,2.532,自民,1,131091
2015,品川,当,3019,松沢　利行,,65,男,自民,現,,2.489,自民,1,131091
2015,品川,当,2964,沢田　洋和,,30,男,自民,現,,2.444,自民,1,131091
2015,品川,当,2922.014,伊藤　昌宏,,49,男,自民,現,,2.409,自民,1,131091
2015,品川,当,2422,本多　健信,,44,男,自民,現,,1.997,自民,1,131091
2015,品川,当,2380,大沢　真一,,52,男,自民,現,,1.962,自民,1,131091
2015,品川,当,2329,渡辺　裕一,,38,男,自民,現,,1.92,自民,1,131091
2015,品川,当,2248,山内　晃,,42,男,自民,現,,1.854,自民,1,131091
2015,品川,当,2033,須藤　安通,,68,男,自民,現,,1.676,自民,1,131091
2015,品川,当,1774,原　浩三,,54,男,自民,現,,1.463,自民,1,131091
2015,品川,落,1618,林　宏,,66,男,自民,現,,1.334,自民,1,131091
2015,品川,落,1588.36,吉田　征四郎,,55,男,自民,新,,1.31,自民,1,131091
